YEAR,MO,DY,LAT,LON,T-IKO,TMIN-IKO,TMAX-IKO,RH2M-IKO
1984,1,16,6.62051,3.52061,24.27,18.67,31.05,49.48
1984,1,17,6.62051,3.52061,24.28,19.17,31.59,49.43
1984,1,18,6.62051,3.52061,23.99,18.19,31.37,50.86
1984,1,19,6.62051,3.52061,23.93,18.26,30.85,51.55
1984,1,20,6.62051,3.52061,24.51,18.84,31.62,54.6
1984,1,21,6.62051,3.52061,25.4,20.31,31.92,66.49
1984,1,22,6.62051,3.52061,25.58,20.35,32.22,66.07
1984,1,23,6.62051,3.52061,26.16,20.79,33.15,61.13
1984,1,24,6.62051,3.52061,25.92,20.44,32.26,63.22
1984,1,25,6.62051,3.52061,26.35,21.1,33.09,61.14
1984,1,26,6.62051,3.52061,26.11,21.12,32.54,58.9
1984,1,27,6.62051,3.52061,26.59,21.23,33.11,58.55
1984,1,28,6.62051,3.52061,26,20.12,33.03,56.03
1984,1,29,6.62051,3.52061,26.95,22.56,33.27,62.53
1984,1,30,6.62051,3.52061,26.85,22.85,32.53,68.61
1984,1,31,6.62051,3.52061,26.96,22.4,32.64,69.65
1984,2,1,6.62051,3.52061,27.73,23.4,33.36,69.61
1984,2,2,6.62051,3.52061,27.85,23.84,32.93,69.08
1984,2,3,6.62051,3.52061,27.92,23.97,32.94,69.66
1984,2,4,6.62051,3.52061,27.77,24.16,32.35,70.38
1984,2,5,6.62051,3.52061,27.17,23.93,32.59,62.63
1984,2,6,6.62051,3.52061,26.75,23.36,32.42,66.14
1984,2,7,6.62051,3.52061,27.02,22.39,33.21,55.52
1984,2,8,6.62051,3.52061,26.35,21.05,33.19,48.49
1984,2,9,6.62051,3.52061,26.69,20.82,33.63,47.89
1984,2,10,6.62051,3.52061,27.24,22.24,33.33,57.87
1984,2,11,6.62051,3.52061,27.37,23.33,32.4,67.78
1984,2,12,6.62051,3.52061,27.62,24.3,32.22,68.03
1984,2,13,6.62051,3.52061,27.67,23.28,33.17,68.16
1984,2,14,6.62051,3.52061,27.86,23.79,33.03,70.33
1984,2,15,6.62051,3.52061,28.23,24.46,33.11,70.75
1984,2,16,6.62051,3.52061,27.72,24.36,32.12,74.04
1984,2,17,6.62051,3.52061,28.24,24.37,33.44,71.56
1984,2,18,6.62051,3.52061,28.69,24.56,34.27,69.33
1984,2,19,6.62051,3.52061,28.78,25.22,33.7,69.35
1984,2,20,6.62051,3.52061,28.44,24.87,33.67,69.11
